subj;mode;n;tmax;num_pulses;tau;condition
1;A;;;;>5.5;singletons
1;V;;;;>5.5;singletons
2;A;;;;>5.5;singletons
2;V;12.9;0.68;6;5.33;singletons
3;A;16.4;0.98;2;4.77;singletons
3;V;5.2;0.66;2;2.60;singletons
4;A;13.7;1.00;4;4.64;singletons
4;V;11.6;0.82;3;4.21;singletons
5;A;11.4;0.71;3;4.98;singletons
5;V;9.6;0.63;5;3.81;singletons
6;A;4.5;1.30;2;5.49;singletons
6;V;3.8;1.15;3;4.49;singletons
7;A;11.1;1.12;2;4.46;singletons
7;V;14.7;0.58;5;5.30;singletons
8;A;;;;>5.5;singletons
8;V;4.4;1.06;2;4.34;singletons
1;A;5.3;0.76;6;4.08;close_pairs
1;V;12.9;0.77;5;5.26;close_pairs
2;A;16.5;0.97;4;5.37;close_pairs
2;V;13.6;0.90;5;4.96;close_pairs
3;A;5.1;0.66;2;3.89;close_pairs
3;V;12.2;1.02;3;3.87;close_pairs
4;A;3.7;0.95;4;4.93;close_pairs
4;V;13.4;1.16;3;4.02;close_pairs
5;A;12.5;0.76;7;4.77;close_pairs
5;V;;;;>5.5;close_pairs
6;A;5.3;1.21;2;3.99;close_pairs
6;V;6.8;1.14;2;5.12;close_pairs
7;A;11.0;0.91;3;2.81;close_pairs
7;V;;;;>5.5;close_pairs
8;A;;;;>5.5;close_pairs
8;V;;;;>5.5;close_pairs
1;A;10.2;0.82;7;4.17;distant_pairs
1;V;11.6;0.82;6;4.95;distant_pairs
2;A;9.7;0.71;5;5.38;distant_pairs
2;V;;;;>5.5;distant_pairs
3;A;8.8;0.88;7;4.99;distant_pairs
3;V;10.0;0.86;4;4.29;distant_pairs
4;A;;;;>5.5;distant_pairs
4;V;13.4;1.15;5;5.32;distant_pairs
5;A;15.7;1.10;5;5.20;distant_pairs
5;V;;;;>5.5;distant_pairs
6;A;4.5;1.23;4;4.35;distant_pairs
6;V;3.6;0.94;2;4.93;distant_pairs
7;A;15.7;0.94;6;5.42;distant_pairs
7;V;;;;>5.5;distant_pairs
8;A;;;;>5.5;distant_pairs
8;V;12.8;0.98;5;4.48;distant_pairs
